id,text,username,longtitude,latitude,created_at_local,source_clean
7.5699E+17,#suicidegirls #blackheartburkesque #brickbybrick #sandiego brickbybricksd @suicidegirls @ Brick… https://t.co/UO6DzmsOI6,Crüejünkie,-117.2010412,32.76865114,09:42.2,Instagram
7.5699E+17,#suicidegirls #blackheartburkesque #brickbybrick #sandiego brickbybricksd @suicidegirls @ Brick… https://t.co/GNN9DsTdZB,Crüejünkie,-117.2010412,32.76865114,10:11.0,Instagram
7.5699E+17,#suicidegirls #blackheartburkesque #brickbybrick #sandiego brickbybricksd @suicidegirls @ Brick… https://t.co/dHXtvMbUn1,Crüejünkie,-117.2010412,32.76865114,10:49.5,Instagram
7.5699E+17,#suicidegirls #blackheartburkesque #brickbybrick #sandiego brickbybricksd @suicidegirls @ Brick… https://t.co/q0XvAjAlOw,Crüejünkie,-117.2010412,32.76865114,11:32.9,Instagram
7.5699E+17,#suicidegirls #blackheartburkesque #brickbybrick #sandiego brickbybricksd @suicidegirls @ Brick… https://t.co/T8AfIZbxQP,Crüejünkie,-117.2010412,32.76865114,12:04.3,Instagram
7.56991E+17,#suicidegirls #blackheartburkesque #brickbybrick #sandiego brickbybricksd @suicidegirls @ Brick… https://t.co/rFxhrhG05H,Crüejünkie,-117.2010412,32.76865114,13:44.7,Instagram
7.56996E+17,Why so serious? #joker #heathledger #suicidesquad #comicx #tijuana @ Comicx Tijuana https://t.co/0S3UTwj15H,Franklin Saint,-117.0115353,32.51426271,32:52.3,Instagram
7.56999E+17,Nuestra selfie con iwillsmith #deadshot #sdcc2016 #suicidesquad #teamcoco randyrexs 😍 @… https://t.co/mDZNFMyXGD,Marcela,-117.162,32.7153,45:56.2,Instagram
7.57E+17,#HarleyQuinn &amp; #Joker costumes worn by margotrobbieofficial &amp; @jaredleto in suicidesquadmovie… https://t.co/fBIq5jFRpU,Tommy Walker,-117.1621888,32.70773428,49:45.0,Instagram
7.57004E+17,#conan #behindthescenes sdcc2016 suicidesquadmovie #sdcc #suicidesquad @ Conan at Comic Con https://t.co/nHb8d3JLcQ,Angie Edgar,-117.1642338,32.71543806,05:26.6,Instagram
7.57009E+17,#suicidesquad #conancon #sdcc #comiccon2016 @ Spreckels Theater… https://t.co/uQRyFqftVu,Marisa Leigh Paulsen,-117.162,32.7153,25:12.0,Instagram
7.57011E+17,Omfg!  The last #conancon show with the cast of #suicidesquad was frigging amazing!! 😀😅😂😮… https://t.co/mUoK0yF4cy,Janessa Gatchalian,-117.162,32.7153,32:50.8,Instagram
7.57014E+17,"We didn't get to tape #suicidesquad or more @ConanOBrien because of spoilers, but the show airs… https://t.co/tZSkZp9NDt",Mako Fufu SDCC #5628,-117.162,32.7153,47:08.9,Instagram
7.57015E+17,"Amazing show , unforgettable night 
#conan #suicide squad @… https://t.co/YAaGlcfAA3",Madridista 11,-117.162,32.7153,50:51.1,Instagram
7.57015E+17,Just got out of @ConanOBrien featuring the cast of #suicidesquad with @iamthefire #sdcc2016… https://t.co/FzwRBcH5ap,Keith Noordzy,-117.1618417,32.70627778,52:00.4,Instagram
7.57016E+17,#suicidesquad #katana @ San Diego Convention Center https://t.co/wtXGtmh97k,Junko Goda,-117.161361,32.70686186,54:51.2,Instagram
7.57022E+17,"#suicidesquad at #conancon  was amazing#

Adewale Akinnuoye-Agbaje #mreko held my hand and so… https://t.co/gNgLL93lqV",Janessa Gatchalian,-117.162,32.7153,17:39.3,Instagram
7.57025E+17,#conan and the #suicidesquad cast! @ Spreckels Theater Building https://t.co/OrolPMpWNQ,Janessa Gatchalian,-117.162,32.7153,28:49.5,Instagram
7.57028E+17,SUICIDE SQUAAAAAAD 😻💀😻 #SDCC #sdcc2016 #suicidesquad #dc @ San Diego… https://t.co/t5ZMkbgbHp,Arianna Rosario,-117.1598539,32.70615557,42:01.3,Instagram
7.57032E+17,Disney Mattel Suicide Squad. 😎😎😎 #suicidesquad #sdcc2016 #disneygirls @ San Diego Convention Center https://t.co/5JHTFaKKXY,Shelby Kocee,-117.161361,32.70686186,55:57.5,Instagram
7.57033E+17,That time we went to a SDCC Conan taping (but they told us when to applause). 👏👏 #suicidesquad @… https://t.co/yQEvqTM8SJ,★,-117.162,32.7153,00:24.7,Instagram
7.57037E+17,Driving back from #ComicCon is so 2015 👸🏽 ✈️  #squadgoals sdcc2016 suicidesquadmovie #sdcc… https://t.co/Xu6e9e7EnF,Angie Edgar,-117.1618417,32.70627778,16:29.0,Instagram
7.57042E+17,#jaicourtney #smilesforsmiles @operationsmile #nerdhq #suicidesquad #jointhesquad… https://t.co/rql1QAaMpd,Michael Morris,-117.1649797,32.71067901,38:26.5,Instagram
7.57043E+17,Squad goals! #galaxylife #suicidesquad #assissinscreed #syndicate #dccomics #dc #warnerbros… https://t.co/JLfnHqIDW6,Jon Odate,-117.161361,32.70686186,43:15.0,Instagram
7.57048E+17,"#suicidesquad drinks (at @QuadAleHouse in San Diego, Calif) https://t.co/n3oe7cJNG1",T,-117.1602952,32.71461454,01:08.2,Foursquare
7.57053E+17,Productive Harley Quinn and Joker during San Diego Comic-Con. #sdcc2016 #suicidesquad #cosplay… https://t.co/jZKjlt9jbS,Jeremy Rafanan,-117.1603785,32.71361055,19:19.5,Instagram
7.5706E+17,It's all about HER magic🌙 @caradelevingne🙌🏻 #suicidesquad #SDCC2015 #Enchantress💀 @ San Diego… https://t.co/vuhpWLzJHW,Andrés Navy,-117.1618417,32.70627778,50:41.6,Instagram
7.57068E+17,"#warnerbros panel today was great! #SDCC #sdcc2016 #comiccon #wb #suicidesquad @ Comicon, San… https://t.co/L9n5B8YzjE",Will Neville,-117.1615816,32.70707812,22:18.1,Instagram
7.57075E+17,originalfunko suicidesquadmovie #cute #harleyquinn @ San Diego Comic-Con International https://t.co/bURkGB2QbU,Junko Goda,-117.1618417,32.70627778,49:38.6,Instagram
7.57084E+17,"Kabuki DC Style #katana
davidmackkabuki you think I can join? #suicidesquad @ Suicide Squad X… https://t.co/lZc5FIMoWU",Sammy Deigh,-117.1595144,32.70724913,23:28.6,Instagram
7.5709E+17,"When you see your ex at the party and you try to play it cool. #suicidesquad @ Comicon, San… https://t.co/LKddn20UoZ",Sammy Deigh,-117.1615816,32.70707812,46:43.2,Instagram
7.5711E+17,The Suicide Squad cast! #suicidesquad @ Hall H At San Diego Comic Con https://t.co/qRYjg4cfLk,jeremy d.,-117.158577,32.70529098,08:30.4,Instagram
7.57118E+17,sgblackheartburlesque @suicidegirls @ Brick By Brick https://t.co/p9ayOrfeJl,Robert Angelito III,-117.2010412,32.76865114,39:53.7,Instagram
7.57134E+17,"Cast of Suicide Squad on Conan today! I snuck the picture 😬
#squadgoals #suicidesquad #comiccon… https://t.co/jk9aPSJVfO",Ali Murphy,-117.162,32.7153,42:34.8,Instagram
7.57233E+17,#thelatmanonearth @ #foxsdcc #ghostbusters 👻 #suicidesquad 💀 @… https://t.co/NhTIwYCo94,ANGELICA,-117.1615816,32.70707812,14:33.9,Instagram
7.57242E+17,Last night #blackheartburlesque #suicidegirls show brickbybricksd #sdcc #sgcomiccon… https://t.co/rNxD7CliTI,Michael Morris,-117.2010412,32.76865114,51:20.8,Instagram
7.57242E+17,#harleyquinn outside @hardrocksd #suicidesquad experience #sdcc #wbsdcc #dcsdcc #cosplay @ Hard… https://t.co/hj39LBkjTK,Michael Morris,-117.15964,32.70781,53:52.3,Instagram
7.57248E+17,"Attention #SuicideSquad cosplayers, I'm waiting in line for the #samsung #suicidesquad… https://t.co/1R2HmKFbUC",Michael Morris,-117.15964,32.70781,16:56.3,Instagram
7.5726E+17,"Cast of Suicide Squad getting down on Conan. 
#squadgoals #suicidesquad #comiccon #conan @… https://t.co/FEeB4UhBWa",Ali Murphy,-117.162,32.7153,02:08.0,Instagram
7.57271E+17,DAY 2 OF 22 days straight of 22 pushups. For every day 22 Veterans commit suicide. I was… https://t.co/07Q0fgCaof,Gerret Swearingen,-117.08608,32.99799,46:54.7,Instagram
7.57281E+17,#pandaman snacks handed out in #suicidesquad experience line.  #pandapurveyors #sdcc #wbsdcc… https://t.co/qvI2s5HDxx,Michael Morris,-117.15964,32.70781,26:59.7,Instagram
7.57282E+17,#BelleReve guard doing his job herding the #skwad through the #suicidesquad experience line.… https://t.co/psuf53lfu0,Michael Morris,-117.15964,32.70781,31:18.2,Instagram
